,sensitivity,Specificity,MCC,AUC
1,1,1,1,1
2,1,0.997916666666667,0.97488298036063,0.998958333333333
3,1,0.997916666666667,0.97488298036063,1
4,1,0.997916666666667,0.97488298036063,1
5,1,1,1,1
6,1,0.991666666666667,0.90905934288631,0.998958333333333
7,1,0.997916666666667,0.97488298036063,1
8,1,1,1,1
9,1,0.997916666666667,0.97488298036063,1
10,1,0.991666666666667,0.90905934288631,1
11,1,1,1,1
12,1,0.997916666666667,0.97488298036063,1
13,1,0.995833333333333,0.951474135383107,0.997916666666667
14,1,0.995833333333333,0.951474135383107,1
15,1,1,1,1
16,1,1,1,1
17,1,0.99375,0.929586163183709,1
18,1,0.997916666666667,0.97488298036063,1
19,1,1,1,1
20,1,0.997916666666667,0.97488298036063,0.998958333333333
21,1,1,1,1
22,1,0.997916666666667,0.97488298036063,1
23,1,1,1,1
24,1,0.995833333333333,0.951474135383107,0.998958333333333
25,1,1,1,1
26,1,1,1,1
27,1,0.997916666666667,0.97488298036063,0.998958333333333
28,1,0.997916666666667,0.97488298036063,0.998958333333333
29,1,1,1,1
30,1,0.997916666666667,0.97488298036063,1
31,1,0.997916666666667,0.97488298036063,1
32,1,1,1,1
33,1,1,1,1
34,1,0.997916666666667,0.97488298036063,1
35,1,1,1,1
36,1,1,1,1
37,1,0.997916666666667,0.97488298036063,0.998958333333333
38,1,0.997916666666667,0.97488298036063,1
39,1,0.997916666666667,0.97488298036063,0.998958333333333
40,1,1,1,1
41,1,1,1,1
42,1,1,1,1
43,1,0.991666666666667,0.90905934288631,0.998958333333333
44,1,0.997916666666667,0.97488298036063,1
45,1,1,1,1
46,1,0.995833333333333,0.951474135383107,0.998958333333333
47,1,1,1,1
48,1,0.997916666666667,0.97488298036063,1
49,1,0.997916666666667,0.97488298036063,1
50,1,1,1,1
